,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
15,,,,,,,,,"[0.2689414213699951, 0.11920292202211755, 0.04742587317756678, 0.01798620996209156, 0.0066928509242848554, 0.0024726231566347743, 0.0009110511944006454, 0.0003353501304664781, 0.00012339457598623172, 4.5397868702434395e-05, 1.670142184809518e-05, 6.144174602214718e-06, 2.2603242979035746e-06, 8.315280276641321e-07, 3.059022269256247e-07, 1.12535162055095e-07, 4.1399375473943306e-08, 1.522997951276035e-08, 5.602796406145941e-09]",,,,"[0.2689414213699951, 0.11920292202211755, 0.04742587317756678, 0.01798620996209156, 0.0066928509242848554, 0.0024726231566347743, 0.0009110511944006454, 0.0003353501304664781, 0.00012339457598623172, 4.5397868702434395e-05, 1.670142184809518e-05]",,,,"[0.2689414213699951, 0.11920292202211755, 0.04742587317756678, 0.01798620996209156, 0.0066928509242848554, 0.0024726231566347743, 0.0009110511944006454, 0.0003353501304664781, 0.00012339457598623172]",,,,,,,"[0.2689414213699951, 0.11920292202211755, 0.04742587317756678, 0.01798620996209156, 0.0066928509242848554, 0.0024726231566347743, 0.0009110511944006454, 0.0003353501304664781, 0.00012339457598623172, 4.5397868702434395e-05, 1.670142184809518e-05, 6.144174602214718e-06, 2.2603242979035746e-06, 8.315280276641321e-07, 3.059022269256247e-07, 1.12535162055095e-07, 4.1399375473943306e-08, 1.522997951276035e-08, 5.602796406145941e-09]",,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,"[0.00012339457598623172, 0.0003353501304664781, 0.0009110511944006454, 0.0024726231566347743, 0.0066928509242848554, 0.01798620996209156, 0.04742587317756678, 0.11920292202211755, 0.2689414213699951]",,"[0.00012339457598623172, 0.0003353501304664781, 0.0009110511944006454, 0.0024726231566347743, 0.0066928509242848554, 0.01798620996209156, 0.04742587317756678, 0.11920292202211755, 0.2689414213699951]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0]",,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,"[0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0]",,"[0.04742587317756678, 0.11920292202211755, 0.2689414213699951]",,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,"[0, 0, 0]",,,,"[0, 0, 0]",,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,"[0, 0, 0, 0, 0]",,,,"[0.0009110511944006454, 0.0024726231566347743, 0.0066928509242848554, 0.01798620996209156, 0.04742587317756678, 0.11920292202211755, 0.2689414213699951]",,,,"[0.0066928509242848554, 0.01798620996209156, 0.04742587317756678, 0.11920292202211755, 0.2689414213699951]",,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,"[0.2689414213699951, 0.11920292202211755, 0.04742587317756678]",,"[0.2689414213699951, 0.11920292202211755, 0.04742587317756678, 0.01798620996209156, 0.0066928509242848554, 0.0024726231566347743, 0.0009110511944006454]",,[0.2689414213699951],[0.2689414213699951],,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,"[0, 0, 0]",,[0.2689414213699951],,,,,"[0, 0, 0, 0, 0]",,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,[0.2689414213699951],,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,"[5.602796406145941e-09, 1.522997951276035e-08, 4.1399375473943306e-08, 1.12535162055095e-07, 3.059022269256247e-07, 8.315280276641321e-07, 2.2603242979035746e-06, 6.144174602214718e-06, 1.670142184809518e-05, 4.5397868702434395e-05, 0.00012339457598623172, 0.0003353501304664781, 0.0009110511944006454, 0.0024726231566347743, 0.0066928509242848554, 0.01798620996209156, 0.04742587317756678, 0.11920292202211755, 0.2689414213699951]",,,,,,,,,"[3.059022269256247e-07, 8.315280276641321e-07, 2.2603242979035746e-06, 6.144174602214718e-06, 1.670142184809518e-05, 4.5397868702434395e-05, 0.00012339457598623172, 0.0003353501304664781, 0.0009110511944006454, 0.0024726231566347743, 0.0066928509242848554, 0.01798620996209156, 0.04742587317756678, 0.11920292202211755, 0.2689414213699951]",,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,"[0.2689414213699951, 0.11920292202211755, 0.04742587317756678, 0.01798620996209156, 0.0066928509242848554]",,,,"[0.2689414213699951, 0.11920292202211755, 0.04742587317756678, 0.01798620996209156, 0.0066928509242848554, 0.0024726231566347743, 0.0009110511944006454, 0.0003353501304664781, 0.00012339457598623172, 4.5397868702434395e-05, 1.670142184809518e-05, 6.144174602214718e-06, 2.2603242979035746e-06, 8.315280276641321e-07, 3.059022269256247e-07]",,"[0.2689414213699951, 0.11920292202211755, 0.04742587317756678, 0.01798620996209156, 0.0066928509242848554, 0.0024726231566347743, 0.0009110511944006454, 0.0003353501304664781, 0.00012339457598623172, 4.5397868702434395e-05, 1.670142184809518e-05, 6.144174602214718e-06, 2.2603242979035746e-06, 8.315280276641321e-07, 3.059022269256247e-07]",,[0.2689414213699951],,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 0, 0, 0]",,,"[3.059022269256247e-07, 8.315280276641321e-07, 2.2603242979035746e-06, 6.144174602214718e-06, 1.670142184809518e-05, 4.5397868702434395e-05, 0.00012339457598623172, 0.0003353501304664781, 0.0009110511944006454, 0.0024726231566347743, 0.0066928509242848554, 0.01798620996209156, 0.04742587317756678, 0.11920292202211755, 0.2689414213699951]",,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,[0.2689414213699951],,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[3.059022269256247e-07, 8.315280276641321e-07, 2.2603242979035746e-06, 6.144174602214718e-06, 1.670142184809518e-05, 4.5397868702434395e-05, 0.00012339457598623172, 0.0003353501304664781, 0.0009110511944006454, 0.0024726231566347743, 0.0066928509242848554, 0.01798620996209156, 0.04742587317756678, 0.11920292202211755, 0.2689414213699951]",,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.2689414213699951, 0.11920292202211755, 0.04742587317756678, 0.01798620996209156, 0.0066928509242848554, 0.0024726231566347743, 0.0009110511944006454, 0.0003353501304664781, 0.00012339457598623172, 4.5397868702434395e-05, 1.670142184809518e-05, 6.144174602214718e-06, 2.2603242979035746e-06, 8.315280276641321e-07, 3.059022269256247e-07]",,"[0.2689414213699951, 0.11920292202211755, 0.04742587317756678, 0.01798620996209156, 0.0066928509242848554, 0.0024726231566347743, 0.0009110511944006454, 0.0003353501304664781, 0.00012339457598623172, 4.5397868702434395e-05, 1.670142184809518e-05, 6.144174602214718e-06, 2.2603242979035746e-06]","[0.2689414213699951, 0.11920292202211755, 0.04742587317756678, 0.01798620996209156, 0.0066928509242848554]",,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[2.2603242979035746e-06, 6.144174602214718e-06, 1.670142184809518e-05, 4.5397868702434395e-05, 0.00012339457598623172, 0.0003353501304664781, 0.0009110511944006454, 0.0024726231566347743, 0.0066928509242848554, 0.01798620996209156, 0.04742587317756678, 0.11920292202211755, 0.2689414213699951]",,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.0066928509242848554, 0.01798620996209156, 0.04742587317756678, 0.11920292202211755, 0.2689414213699951]",,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0.0009110511944006454, 0.0024726231566347743, 0.0066928509242848554, 0.01798620996209156, 0.04742587317756678, 0.11920292202211755, 0.2689414213699951]",,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,"[0, 0, 0, 0, 0]",,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.2689414213699951, 0.11920292202211755, 0.04742587317756678, 0.01798620996209156, 0.0066928509242848554, 0.0024726231566347743, 0.0009110511944006454]",,,,"[0.2689414213699951, 0.11920292202211755, 0.04742587317756678, 0.01798620996209156, 0.0066928509242848554, 0.0024726231566347743, 0.0009110511944006454, 0.0003353501304664781, 0.00012339457598623172, 4.5397868702434395e-05, 1.670142184809518e-05, 6.144174602214718e-06, 2.2603242979035746e-06, 8.315280276641321e-07, 3.059022269256247e-07]",,"[0.2689414213699951, 0.11920292202211755, 0.04742587317756678, 0.01798620996209156, 0.0066928509242848554, 0.0024726231566347743, 0.0009110511944006454, 0.0003353501304664781, 0.00012339457598623172, 4.5397868702434395e-05, 1.670142184809518e-05]",
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 0, 0, 0]",,"[3.059022269256247e-07, 8.315280276641321e-07, 2.2603242979035746e-06, 6.144174602214718e-06, 1.670142184809518e-05, 4.5397868702434395e-05, 0.00012339457598623172, 0.0003353501304664781, 0.0009110511944006454, 0.0024726231566347743, 0.0066928509242848554, 0.01798620996209156, 0.04742587317756678, 0.11920292202211755, 0.2689414213699951]",,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1.670142184809518e-05, 4.5397868702434395e-05, 0.00012339457598623172, 0.0003353501304664781, 0.0009110511944006454, 0.0024726231566347743, 0.0066928509242848554, 0.01798620996209156, 0.04742587317756678, 0.11920292202211755, 0.2689414213699951]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
